Big Box Retailer,Shopping/retail
International Restaurant,Restaurant/cafe
Arts & Entertainment,Arts/entertainment/nightlife
Playground,Public places
Italian Restaurant,Restaurant/cafe
Event Planning,Company
Shopping Mall,Shopping/retail
Buffet Restaurant,Restaurant/cafe
Amusement Park Ride,Public places
Residence & Other,Public places
Japanese Restaurant,Restaurant/cafe
Public Places & Attractions,Public places
Karaoke,Arts/entertainment/nightlife
Restaurant,Restaurant/cafe
Region,Public places
Entertainment Service,Arts/entertainment/nightlife
Classes,School
Nightlife,Arts/entertainment/nightlife
Landmark,Landmark
Organization,Government organization
Coffee Shop,Restaurant/cafe
Shopping & Retail,Shopping/retail
Airport Terminal,Airport
Education,School
Event,Arts/entertainment/nightlife
Amusement,Arts/entertainment/nightlife
Tourist Attraction,Tours/sightseeing
Family Style Restaurant,Restaurant/cafe
Dance Instruction,Professional services
Theatre,Movie theater
College & University,University
Park,Public places
Food Stand,Restaurant/cafe
Convenience Store,Shopping/retail
Movie Theatre,Movie theater
Breakfast & Brunch Restaurant,Restaurant/cafe
Performing Arts Education,Professional services
School,School
Book Store,Shopping/retail
Steakhouse,Restaurant/cafe
Outdoors,Public places
Athletic Education,Professional services
Local Business,Shopping/retail
High School,School
Professional Services,Professional services
Cafe,Restaurant/cafe
Smoothie & Juice Bar,Restaurant/cafe
Just For Fun,Arts/entertainment/nightlife
Sports Venue & Stadium,Sports venue
Sports & Recreation,Sports venue
Research Service,Professional services
Government Organization,Government Organization
Transportation Service,Transportation
Chinese Restaurant,Restaurant/cafe
Bowling Alley,Sports venue
Tea Room,Restaurant/cafe
Ice Cream Parlor,Restaurant/cafe
Fondue Restaurant,Restaurant/cafe
Franchising Service,Professional services
Bridge,Landmark
Continental Restaurant,Restaurant/cafe
Recreation Center,Arts/entertainment/nightlife
Technical Institute,University
Airport Shuttle,Airport
Specialty School,School
Shopping District,Shopping/retail
Market,Shopping/retail
Drive In Restaurant,Restaurant/cafe
Barbecue Restaurant,Restaurant/cafe
Lake,Landmark
Food & Grocery,Shopping/retail
Vegetarian & Vegan Restaurant,Restaurant/cafe
Wholesale & Supply Store,Shopping/retail
Highway,Public places
Bus Station,Transportation
Fast Food Restaurant,Restaurant/cafe
Historical Place,Landmark
Campus Building,School
Concert Venue,Arts/entertainment/nightlife
Dim Sum Restaurant,Restaurant/cafe
Food & Beverage Service & Distribution,Restaurant/cafe
Middle School,School
Diner,Restaurant/cafe
Public Square,Public places
Community & Government,Government organization
Airport,Airport
Auditorium,Professional services
Public School,School
Department Store,Shopping/retail
Bar & Grill,Restaurant/cafe
American Restaurant,Restaurant/cafe
Outdoor Recreation,Arts/entertainment/nightlife
Theme Park,Arts/entertainment/nightlife
Tours & Sightseeing,Tours/sightseeing
Performance Venue,Public places
Cafeteria,Restaurant/cafe
